ID	plabels	alabels	longitude	latitude	PC1	PC2	RotNS	RotEW
17955	Czech_Republic	CZ	15.37698423	49.73660661	0.0222	-0.0284	0.021157995	0.029184572
18083	Czech_Republic	CZ	15.37698423	49.73660661	0.0212	-0.0415	0.034024096	0.031844166
18501	Albania	AL	20.06694176	41.20105559	-0.02	-0.0484	0.052042373	-0.005843918
19593	Croatia	HR	16.1	45.32	-0.0383	-0.0486	0.057292424	-0.023375802
19599	Czech_Republic	CZ	15.37698423	49.73660661	-6.00E-04	-0.0494	0.047641556	0.01307678
22020	Serbia_and_Montenegro	YG	20.61572308	43.94949264	-0.031	-0.0501	0.056716386	-0.015945582
22675	Hungary	HU	19.36879244	47.18223946	0.0179	-0.0423	0.035705003	0.028893818
24231	Latvia	LV	24.85697759	56.91219801	0.0516	-0.0666	0.04974428	0.067997254
24512	Czech_Republic	CZ	15.37698423	49.73660661	0.019	-0.0412	0.034343828	0.029646947
25017	Romania	RO	24.98211714	45.8858244	-0.0147	-0.0475	0.049712592	-0.000999115
25098	Serbia_and_Montenegro	YG	20.61572308	43.94949264	0.002	-0.0628	0.059800986	0.019279058
25564	Romania	RO	24.98211714	45.8858244	-0.0244	-0.036	0.041341483	-0.013499696
27833	Hungary	HU	19.36879244	47.18223946	0.0186	-0.0359	0.029360833	0.027797689
27986	Serbia_and_Montenegro	YG	20.61572308	43.94949264	0	-0.0507	0.048725086	0.014012708
28005	Czech_Republic	CZ	15.37698423	49.73660661	0.022	-0.0429	0.035148454	0.032999942
28027	Serbia_and_Montenegro	YG	20.61572308	43.94949264	0.0013	-0.0422	0.040196886	0.012912799
28611	Albania	AL	20.06694176	41.20105559	-0.033	-0.0427	0.050157407	-0.019912923
29218	Romania	RO	24.98211714	45.8858244	-0.014	-0.0416	0.043848945	-0.001957052
29336	"Macedonia,_The_Former_Yugoslav_Republic_Of"	MK	21.69397654	41.67095673	-0.0266	-0.0423	0.048004126	-0.013872776
29507	Hungary	HU	19.36879244	47.18223946	0.0172	-0.0297	0.02378928	0.024738637
29556	Czech_Republic	CZ	15.37698423	49.73660661	0.0105	-0.0306	0.026506	0.018548368
31205	Bosnia_and_Herzegovina	BA	17.86202304	44.17587582	0.0032	-0.0622	0.058892696	0.020266484
31428	Serbia_and_Montenegro	YG	20.61572308	43.94949264	-0.0071	-0.0424	0.042710727	0.00489528
32595	Hungary	HU	19.36879244	47.18223946	0.0185	-0.0424	0.035635277	0.029498085
32986	Serbia_and_Montenegro	YG	20.61572308	43.94949264	-0.0353	-0.0462	0.054156757	-0.021155985
33396	Serbia_and_Montenegro	YG	20.61572308	43.94949264	-0.0273	-0.0542	0.059634055	-0.01125653
34699	Croatia	HR	16.1	45.32	0.008	-0.0582	0.053721861	0.02377397
34721	Serbia_and_Montenegro	YG	20.61572308	43.94949264	9.00E-04	-0.0496	0.047419188	0.014573627
34723	Croatia	HR	16.1	45.32	0.0109	-0.052	0.046961853	0.024847421
35482	"Macedonia,_The_Former_Yugoslav_Republic_Of"	MK	21.69397654	41.67095673	-0.0111	-0.0371	0.038722717	-0.000413747
35736	Romania	RO	24.98211714	45.8858244	-0.0166	-0.0399	0.042933765	-0.004925629
35798	Serbia_and_Montenegro	YG	20.61572308	43.94949264	-0.0106	-0.0597	0.060304188	0.006313072
35984	Romania	RO	24.98211714	45.8858244	-0.0127	-0.0219	0.024557017	-0.006152471
36104	Serbia_and_Montenegro	YG	20.61572308	43.94949264	-0.0253	-0.0507	0.055717621	-0.010301783
37125	"Macedonia,_The_Former_Yugoslav_Republic_Of"	MK	21.69397654	41.67095673	-0.0189	-0.0507	0.053948758	-0.004151081
37439	Hungary	HU	19.36879244	47.18223946	0.0133	-0.0406	0.035342593	0.024003148
37628	Romania	RO	24.98211714	45.8858244	-0.0119	-0.0398	0.041538652	-0.000436346
37773	Serbia_and_Montenegro	YG	20.61572308	43.94949264	-0.0263	-0.0544	0.05954988	-0.010240206
38700	Croatia	HR	16.1	45.32	0.0033	-0.0322	0.030033646	0.012071045
38782	Serbia_and_Montenegro	YG	20.61572308	43.94949264	-0.0239	-0.0594	0.063691792	-0.006551769
38794	Serbia_and_Montenegro	YG	20.61572308	43.94949264	-0.0243	-0.0494	0.054191875	-0.009700036
39319	Slovenia	SI	14.77396658	46.12264311	0.0084	-0.0568	0.052265841	0.023771451
39943	Hungary	HU	19.36879244	47.18223946	0.0136	-0.0536	0.04775329	0.027884464
40785	Hungary	HU	19.36879244	47.18223946	-0.0074	-0.041	0.041448177	0.004220028
41221	Serbia_and_Montenegro	YG	20.61572308	43.94949264	-0.0294	-0.0507	0.056850798	-0.014242076
41606	Hungary	HU	19.36879244	47.18223946	-0.0034	-0.0379	0.037363392	0.007207423
41729	Serbia_and_Montenegro	YG	20.61572308	43.94949264	-0.0287	-0.0476	0.053678083	-0.014426135
41734	Serbia_and_Montenegro	YG	20.61572308	43.94949264	-0.0301	-0.0415	0.048202635	-0.017457548
42098	Serbia_and_Montenegro	YG	20.61572308	43.94949264	-0.0077	-0.0324	0.033266088	0.001554804
42125	Serbia_and_Montenegro	YG	20.61572308	43.94949264	-0.0034	-0.055	0.053797297	0.011933603
42725	Hungary	HU	19.36879244	47.18223946	0.0101	-0.0329	0.028826962	0.018799634
43172	Czech_Republic	CZ	15.37698423	49.73660661	0.0205	-0.0429	0.035563031	0.031558372
43252	Czech_Republic	CZ	15.37698423	49.73660661	0.0252	-0.0413	0.032726347	0.035633077
43473	Bosnia_and_Herzegovina	BA	17.86202304	44.17587582	-0.0049	-0.0446	0.044216984	0.00761763
45879	Hungary	HU	19.36879244	47.18223946	0.0104	-0.0313	0.027206371	0.018645733
47058	"Macedonia,_The_Former_Yugoslav_Republic_Of"	MK	21.69397654	41.67095673	-0.022	-0.0365	0.041158683	-0.011054991
47219	Bosnia_and_Herzegovina	BA	17.86202304	44.17587582	0.0108	-0.0454	0.040646581	0.022927177
48009	Serbia_and_Montenegro	YG	20.61572308	43.94949264	-0.0372	-0.0447	0.053240317	-0.023396551
49032	Hungary	HU	19.36879244	47.18223946	0.0161	-0.0434	0.037259648	0.027467957
49152	Serbia_and_Montenegro	YG	20.61572308	43.94949264	-0.0018	-0.065	0.062965552	0.016235126
49378	Serbia_and_Montenegro	YG	20.61572308	43.94949264	3.00E-04	-0.0395	0.037878444	0.011205513
49547	Romania	RO	24.98211714	45.8858244	-0.0125	-0.0434	0.045164252	-1.80E-05
49857	Serbia_and_Montenegro	YG	20.61572308	43.94949264	-0.0258	-0.0426	0.048071332	-0.013021023
1139	United_Kingdom	UK	-2.331195017	53.54324801	0.0248	0.012	-0.018386907	0.02051735
1269	United_Kingdom	UK	-2.331195017	53.54324801	0.0278	-8.00E-04	-0.006914659	0.026938216
1334	Ireland	IE	-8.180400765	53.19668273	0.0429	0.0312	-0.041841575	0.032605714
1398	United_Kingdom	UK	-2.331195017	53.54324801	0.0234	0.0051	-0.011368744	0.021078939
1551	Ireland	IE	-8.180400765	53.19668273	0.0345	0.0108	-0.019914583	0.030171168
1599	United_Kingdom	UK	-2.331195017	53.54324801	0.0129	-0.0032	-0.000490013	0.013281938
2721	Ireland	IE	-8.180400765	53.19668273	0.0363	0.0144	-0.023871845	0.030906068
3146	Ireland	IE	-8.180400765	53.19668273	0.0377	0.0196	-0.029256228	0.030814333
3181	United_Kingdom	UK	-2.331195017	53.54324801	0.0306	-0.0021	-0.006439175	0.029988448
3708	Ireland	IE	-8.180400765	53.19668273	0.0343	0.0161	-0.024952855	0.028514119
4573	Ireland	IE	-8.180400765	53.19668273	0.0325	0.0027	-0.011577332	0.030487791
4865	United_Kingdom	UK	-2.331195017	53.54324801	0.0244	0.0196	-0.025580311	0.018032407
4982	United_Kingdom	UK	-2.331195017	53.54324801	0.0369	-0.0095	-0.001068651	0.038088292
5099	Sweden	SE	18	59.35	0.0381	-0.0208	0.009459519	0.042364696
5426	United_Kingdom	UK	-2.331195017	53.54324801	0.0258	0.0194	-0.02577504	0.01943315
5445	Ireland	IE	-8.180400765	53.19668273	0.034	0.0203	-0.028906338	0.027064989
5560	United_Kingdom	UK	-2.331195017	53.54324801	0.0334	0.0128	-0.021532654	0.028561247
6762	Scotland	Sct	-3.2	55.95	0.0276	8.00E-04	-0.008397057	0.026303791
6802	Ireland	IE	-8.180400765	53.19668273	0.0343	0.0138	-0.022742447	0.029149804
6985	United_Kingdom	UK	-2.331195017	53.54324801	0.037	0.0216	-0.030984853	0.02958883
7795	United_Kingdom	UK	-2.331195017	53.54324801	0.0247	0.0087	-0.015187813	0.021333315
8126	United_Kingdom	UK	-2.331195017	53.54324801	0.0256	-0.0017	-0.00544167	0.025072659
8682	United_Kingdom	UK	-2.331195017	53.54324801	0.0287	-0.0026	-0.005433521	0.028300651
9631	United_Kingdom	UK	-2.331195017	53.54324801	0.0238	0.0085	-0.014746858	0.020523649
10548	United_Kingdom	UK	-2.331195017	53.54324801	0.0277	0.0069	-0.014287083	0.024713949
10966	United_Kingdom	UK	-2.331195017	53.54324801	0.03	0.0094	-0.017325386	0.026233395
11577	Ireland	IE	-8.180400765	53.19668273	0.0358	0.0133	-0.022676501	0.030729567
12009	Ireland	IE	-8.180400765	53.19668273	0.0346	0.0234	-0.032051414	0.026784825
12725	United_Kingdom	UK	-2.331195017	53.54324801	0.0224	-0.0035	-0.002827354	0.022494801
12863	Ireland	IE	-8.180400765	53.19668273	0.0311	0.016	-0.02397232	0.025466407
13550	United_Kingdom	UK	-2.331195017	53.54324801	0.0351	0.0034	-0.012968666	0.032793044
13732	United_Kingdom	UK	-2.331195017	53.54324801	0.0332	-0.0227	0.012639794	0.038180697
13750	United_Kingdom	UK	-2.331195017	53.54324801	0.0284	0.0078	-0.015345495	0.025137935
15615	United_Kingdom	UK	-2.331195017	53.54324801	0.0299	-0.0075	-0.001056052	0.030808193
15748	United_Kingdom	UK	-2.331195017	53.54324801	0.0342	0.0087	-0.017813469	0.030463262
16161	Ireland	IE	-8.180400765	53.19668273	0.0295	0.0098	-0.017571612	0.025642318
17248	Croatia	HR	16.1	45.32	0.0023	-0.0454	0.042995852	0.014758277
17282	Ireland	IE	-8.180400765	53.19668273	0.0334	0.0099	-0.018745617	0.029362763
17918	Ireland	IE	-8.180400765	53.19668273	0.0321	0.0143	-0.022614924	0.026897308
18147	Ireland	IE	-8.180400765	53.19668273	0.0351	0.0247	-0.033438968	0.026906048
